result,pnl,lot,entry,sl,tp1,tp2,direction,bar,time,engine,balance_before,balance_after
SL,0.0,0.5,4465.89990234375,4465.89990234375,4458.77448610779,4453.0741531190215,SHORT,54,2026-01-07 18:30:00+00:00,ICT/SMC,10000.0,10000.0
TP2,50.57,0.5,4443.7001953125,4443.7001953125,4436.476284121405,4430.697155168529,SHORT,98,2026-01-08 06:30:00+00:00,ICT/SMC,10000.0,10050.57
SL,0.0,0.5,4439.39990234375,4439.39990234375,4432.767619827917,4427.4617938152505,SHORT,107,2026-01-08 08:45:00+00:00,ICT/SMC,10050.57,10050.57
TP2,41.57,0.5,4440.7998046875,4440.7998046875,4434.86189793657,4430.111572535827,SHORT,114,2026-01-08 10:30:00+00:00,ICT/SMC,10050.57,10092.14
SL,0.0,0.5,4436.7998046875,4436.7998046875,4430.048955551961,4424.64827624353,SHORT,122,2026-01-08 12:30:00+00:00,ICT/SMC,10092.14,10092.14
SL,-44.15,0.5,4441.39990234375,4450.22978477946,4432.57001990804,4425.506113959473,SHORT,131,2026-01-08 14:45:00+00:00,ICT/SMC,10092.14,10047.99
SL,-45.75,0.5,4456.60009765625,4465.750563642228,4447.449631670272,4440.1292588814895,SHORT,136,2026-01-08 16:00:00+00:00,ICT/SMC,10047.99,10002.24
SL,0.0,0.5,4480.5,4480.5,4476.452278323937,4473.2141009830875,SHORT,204,2026-01-09 10:00:00+00:00,ICT/SMC,10002.24,10002.24
SL,-20.41,0.5,4481.2998046875,4485.382185979765,4477.217423395235,4473.951518361423,SHORT,207,2026-01-09 10:45:00+00:00,ICT/SMC,10002.24,9981.83
TP2,30.28,0.5,4483.2998046875,4483.2998046875,4478.973510324556,4475.5124748342005,SHORT,212,2026-01-09 12:00:00+00:00,ICT/SMC,9981.83,10012.11
SL,-31.5,0.5,4598.60009765625,4604.900873207539,4592.299322104961,4587.25870166393,SHORT,381,2026-01-13 08:15:00+00:00,ICT/SMC,10012.11,9980.61
TP2,38.61,0.5,4599.5,4599.5,4593.9840782170295,4589.571340790652,SHORT,386,2026-01-13 09:30:00+00:00,ICT/SMC,9980.61,10019.22
SL,-43.02,0.5,4630.5,4639.104814596586,4621.895185403414,4615.0113337261455,SHORT,512,2026-01-14 18:00:00+00:00,ICT/SMC,10019.220000000001,9976.2
TP2,46.44,0.5,4646.7001953125,4646.7001953125,4640.066226370017,4634.759051216031,SHORT,519,2026-01-14 19:45:00+00:00,ICT/SMC,9976.2,10022.64
SL,-39.22,0.5,4610.0,4617.843112151189,4602.156887848811,4595.882398127859,SHORT,558,2026-01-15 06:30:00+00:00,ICT/SMC,10022.640000000001,9983.42
SL,-34.67,0.5,4608.7001953125,4615.633448369266,4601.766942255734,4596.22033981032,SHORT,562,2026-01-15 07:30:00+00:00,ICT/SMC,9983.420000000002,9948.75
SL,-26.59,0.5,4608.7001953125,4614.018743520254,4603.381647104746,4599.126808538542,SHORT,569,2026-01-15 09:15:00+00:00,ICT/SMC,9948.750000000002,9922.16
TP2,30.81,0.5,4621.89990234375,4621.89990234375,4617.498063544376,4613.976592504878,SHORT,578,2026-01-15 11:30:00+00:00,ICT/SMC,9922.160000000002,9952.97
TP2,30.45,0.5,4620.7001953125,4620.7001953125,4616.349983492757,4612.869814036962,SHORT,581,2026-01-15 12:15:00+00:00,ICT/SMC,9952.970000000001,9983.42
TP2,37.71,0.5,4608.60009765625,4608.60009765625,4603.212837472476,4598.903029325456,SHORT,648,2026-01-16 06:00:00+00:00,ICT/SMC,9983.420000000002,10021.13
