result,pnl,lot,entry,sl,tp1,tp2,sl_pips,partial,direction,bar,time,balance_before,balance_after
SL,-16.5,0.5,5193.2998046875,5196.60009765625,5183.39892578125,5160.296875,3.30029296875,False,SHORT,292,2026-03-11 08:54,10000.0,9983.5
SL,-20.5,0.5,5199.2998046875,5195.2001953125,5211.5986328125,5240.2958984375,4.099609375,False,LONG,352,2026-03-11 09:54,9983.5,9963.0
TIMEOUT,50.25,0.5,5173.0,5173.5,5182.6005859375,5205.001953125,3.2001953125,True,LONG,1558,2026-03-12 07:03,9963.0,10013.25
SL,-18.5,0.5,5186.5,5182.7998046875,5197.6005859375,5223.501953125,3.7001953125,False,LONG,1646,2026-03-12 08:31,10013.25,9994.75
SL,-16.5,0.5,5186.39990234375,5189.7001953125,5176.4990234375,5153.39697265625,3.30029296875,False,SHORT,1661,2026-03-12 08:46,9994.75,9978.25
TIMEOUT,112.25,0.5,5164.0,5163.5,5143.8994140625,5096.998046875,6.7001953125,True,SHORT,1981,2026-03-12 14:06,9978.25,10090.5
SL,23.5,0.5,5094.10009765625,5093.60009765625,5080.0009765625,5047.10302734375,4.69970703125,True,SHORT,2948,2026-03-13 07:14,10090.5,10114.0
SL,-23.5,0.5,5094.5,5099.2001953125,5080.3994140625,5047.498046875,4.7001953125,False,SHORT,3109,2026-03-13 09:55,10114.0,10090.5
SL,-24.5,0.5,5114.2001953125,5109.2998046875,5128.9013671875,5163.2041015625,4.900390625,False,LONG,3254,2026-03-13 12:20,10090.5,10066.0
SL,-39.5,0.5,5038.2001953125,5046.10009765625,5014.50048828125,4959.201171875,7.89990234375,False,SHORT,3501,2026-03-13 16:27,10066.0,10026.5
SL,-31.0,0.5,5051.2998046875,5045.10009765625,5069.89892578125,5113.296875,6.19970703125,False,LONG,3524,2026-03-13 16:50,10026.5,9995.5
TIMEOUT,77.0,0.5,5001.2998046875,5000.7998046875,4979.69921875,4929.2978515625,7.2001953125,True,SHORT,4389,2026-03-16 08:26,9995.5,10072.5
SL,33.5,0.5,4995.2998046875,4994.7998046875,4975.19921875,4928.2978515625,6.7001953125,True,SHORT,4419,2026-03-16 08:56,10072.5,10106.0
SL,-29.0,0.5,4989.7998046875,4995.60009765625,4972.39892578125,4931.796875,5.80029296875,False,SHORT,4888,2026-03-16 16:45,10106.0,10077.0
SL,-24.5,0.5,5025.5,5020.60009765625,5040.19970703125,5074.4990234375,4.89990234375,False,LONG,5733,2026-03-17 07:56,10077.0,10052.5
SL,-18.5,0.5,5026.2998046875,5030.0,5015.19921875,4989.2978515625,3.7001953125,False,SHORT,5794,2026-03-17 08:57,10052.5,10034.0
TIMEOUT,52.75,0.5,5020.2998046875,5019.7998046875,5008.2998046875,4980.2998046875,4.0,True,SHORT,5828,2026-03-17 09:31,10034.0,10086.75
