date,time,direction,setup,ib_range,sl,result,pnl,balance_after
2026-01-06,2026-01-06 14:00,LONG,IB_BREAKOUT_UP,13.6,4.08,SL,-20.4,9979.6
2026-01-07,2026-01-07 13:45,LONG,IB_BREAKOUT_UP,22.7,6.81,SL,-34.05,9945.55
2026-01-08,2026-01-08 15:00,LONG,IB_BREAKOUT_UP,19.5,5.85,TIMEOUT,144.38,10089.93
2026-01-09,2026-01-09 13:30,LONG,IB_BREAKOUT_UP,13.0,3.9,SL,-19.5,10070.43
2026-01-12,2026-01-12 13:45,LONG,IB_BREAKOUT_UP,23.4,7.02,SL,-35.1,10035.33
2026-01-13,2026-01-13 13:30,LONG,IB_BREAKOUT_UP,16.3,4.89,SL,-24.45,10010.88
2026-01-14,2026-01-14 14:30,SHORT,IB_BREAKOUT_DOWN,15.1,4.53,SL,-22.65,9988.23
2026-01-15,2026-01-15 13:30,SHORT,IB_BREAKOUT_DOWN,13.9,4.17,SL,-20.85,9967.38
2026-01-16,2026-01-16 14:00,LONG,IB_BREAKOUT_UP,23.9,7.17,SL,-35.85,9931.53
2026-01-20,2026-01-20 13:30,LONG,IB_BREAKOUT_UP,13.0,3.9,SL,39.0,9970.53
2026-01-21,2026-01-21 13:30,LONG,IB_BREAKOUT_UP,13.3,3.99,SL,-19.95,9950.58
2026-01-22,2026-01-22 13:30,SHORT,IB_BREAKOUT_DOWN,19.8,5.94,SL,-29.7,9920.88
2026-01-23,2026-01-23 15:00,LONG,IB_BREAKOUT_UP,24.3,7.29,SL,-36.45,9884.43
2026-01-26,2026-01-26 14:45,LONG,IB_BREAKOUT_UP,17.7,5.31,SL,-26.55,9857.88
2026-01-27,2026-01-27 13:30,SHORT,IB_BREAKOUT_DOWN,17.4,5.22,SL,-26.1,9831.78
2026-01-28,2026-01-28 13:30,SHORT,IB_BREAKOUT_DOWN,21.5,6.45,SL,-32.25,9799.53
2026-01-29,2026-01-29 14:15,LONG,IB_BREAKOUT_UP,33.8,10.14,SL,-50.7,9748.83
2026-02-03,2026-02-03 13:30,LONG,IB_BREAKOUT_UP,38.7,11.61,SL,-58.05,9690.78
2026-02-04,2026-02-04 13:45,LONG,IB_BREAKOUT_UP,31.9,9.57,SL,-47.85,9642.93
2026-02-06,2026-02-06 13:30,LONG,IB_BREAKOUT_UP,33.1,9.93,SL,-49.65,9593.28
2026-02-09,2026-02-09 13:30,SHORT,IB_BREAKOUT_DOWN,21.7,6.51,SL,-32.55,9560.73
2026-02-10,2026-02-10 13:30,LONG,IB_BREAKOUT_UP,20.4,6.12,SL,-30.6,9530.13
2026-02-11,2026-02-11 13:30,SHORT,IB_BREAKOUT_DOWN,27.9,8.37,SL,-41.85,9488.28
2026-02-12,2026-02-12 13:30,LONG,IB_BREAKOUT_UP,23.4,7.02,SL,-35.1,9453.18
2026-02-13,2026-02-13 13:30,LONG,IB_BREAKOUT_UP,19.2,5.76,SL,-28.8,9424.38
2026-02-17,2026-02-17 13:45,SHORT,IB_BREAKOUT_DOWN,22.3,6.69,SL,-33.45,9390.93
2026-02-18,2026-02-18 14:30,LONG,IB_BREAKOUT_UP,20.2,6.06,SL,-30.3,9360.63
2026-02-19,2026-02-19 13:30,LONG,IB_BREAKOUT_UP,13.4,4.02,SL,-20.1,9340.53
2026-02-20,2026-02-20 13:45,LONG,IB_BREAKOUT_UP,8.8,3.0,SL,-15.0,9325.53
2026-02-23,2026-02-23 14:30,LONG,IB_BREAKOUT_UP,22.3,6.69,SL,-33.45,9292.08
2026-02-24,2026-02-24 13:30,SHORT,IB_BREAKOUT_DOWN,10.9,3.27,TP2,122.62,9414.7
2026-02-25,2026-02-25 14:15,SHORT,IB_BREAKOUT_DOWN,11.0,3.3,SL,-16.5,9398.2
2026-02-26,2026-02-26 13:30,SHORT,IB_BREAKOUT_DOWN,17.5,5.25,SL,-26.25,9371.95
2026-03-02,2026-03-02 14:00,SHORT,IB_BREAKOUT_DOWN,28.8,8.64,TP2,324.0,9695.95
2026-03-04,2026-03-04 13:45,SHORT,IB_BREAKOUT_DOWN,25.4,7.62,SL,-38.1,9657.85
2026-03-06,2026-03-06 13:30,LONG,IB_BREAKOUT_UP,23.1,6.93,SL,-34.65,9623.2
2026-03-09,2026-03-09 13:30,SHORT,IB_BREAKOUT_DOWN,14.8,4.44,SL,-22.2,9601.0
2026-03-10,2026-03-10 15:30,LONG,IB_BREAKOUT_UP,44.0,13.2,SL,-66.0,9535.0
2026-03-11,2026-03-11 14:00,LONG,IB_BREAKOUT_UP,22.0,6.6,SL,-33.0,9502.0
2026-03-12,2026-03-12 13:45,SHORT,IB_BREAKOUT_DOWN,27.7,8.31,SL,-41.55,9460.45
2026-03-13,2026-03-13 13:45,SHORT,IB_BREAKOUT_DOWN,14.6,4.38,SL,-21.9,9438.55
2026-03-16,2026-03-16 13:30,LONG,IB_BREAKOUT_UP,17.7,5.31,SL,-26.55,9412.0
2026-03-17,2026-03-17 13:30,LONG,IB_BREAKOUT_UP,9.3,3.0,SL,-15.0,9397.0
2026-03-18,2026-03-18 14:00,LONG,IB_BREAKOUT_UP,47.1,14.13,SL,-70.65,9326.35
