time,direction,result,pnl,sl,trend,balance_after
2026-01-06 12:25,LONG,SL,-10.5,2.1,BULL,9989.5
2026-01-06 14:35,LONG,TP,28.0,2.8,BULL,10017.5
2026-01-07 08:10,LONG,TP,38.0,3.8,BULL,10055.5
2026-01-07 12:00,SHORT,TP,26.0,2.6,BEAR,10081.5
2026-01-08 08:40,SHORT,SL,-17.0,3.4,BEAR,10064.5
2026-01-08 19:10,SHORT,SL,-12.0,2.4,BEAR,10052.5
2026-01-12 07:10,LONG,SL,-13.5,2.7,BULL,10039.0
2026-01-12 08:55,LONG,SL,-16.5,3.3,BULL,10022.5
2026-01-14 18:20,LONG,TP,26.0,2.6,BULL,10048.5
2026-01-15 13:35,SHORT,TP,38.0,3.8,BEAR,10086.5
2026-01-20 07:25,LONG,SL,-12.5,2.5,BULL,10074.0
2026-01-20 08:10,LONG,SL,-10.5,2.1,BULL,10063.5
2026-01-20 19:20,LONG,SL,-14.5,2.9,BULL,10049.0
2026-01-21 18:35,LONG,SL,-12.5,2.5,BULL,10036.5
2026-01-22 17:50,LONG,TP,42.0,4.2,BULL,10078.5
2026-01-23 14:50,LONG,SL,-16.5,3.3,BULL,10062.0
2026-01-26 08:20,LONG,SL,-11.0,2.2,BULL,10051.0
2026-01-26 12:05,LONG,SL,-15.0,3.0,BULL,10036.0
2026-01-26 17:45,LONG,SL,-16.5,3.3,BULL,10019.5
2026-01-27 09:30,LONG,SL,-21.0,4.2,BULL,9998.5
2026-01-28 07:20,LONG,SL,-23.0,4.6,BULL,9975.5
2026-01-28 08:05,LONG,SL,-18.0,3.6,BULL,9957.5
2026-01-28 12:40,LONG,SL,-17.0,3.4,BULL,9940.5
2026-01-28 14:40,LONG,SL,-31.5,6.3,BULL,9909.0
2026-01-28 19:50,LONG,TP,57.0,5.7,BULL,9966.0
2026-01-29 09:35,LONG,SL,-37.5,7.5,BULL,9928.5
2026-01-29 12:30,LONG,SL,-25.5,5.1,BULL,9903.0
2026-02-03 19:20,LONG,SL,-28.0,5.6,BULL,9875.0
2026-02-04 18:30,LONG,SL,-27.0,5.4,BULL,9848.0
2026-02-05 09:15,SHORT,SL,-46.5,9.3,BEAR,9801.5
2026-02-05 12:20,SHORT,SL,-41.0,8.2,BEAR,9760.5
2026-02-05 19:35,SHORT,SL,-49.0,9.8,BEAR,9711.5
2026-02-06 12:10,LONG,SL,-29.0,5.8,BULL,9682.5
2026-02-06 13:40,LONG,SL,-14.0,2.8,BULL,9668.5
2026-02-06 14:40,LONG,TP,97.0,9.7,BULL,9765.5
2026-02-06 17:05,LONG,SL,-39.5,7.9,BULL,9726.0
2026-02-09 08:05,LONG,TP,49.0,4.9,BULL,9775.0
2026-02-09 13:10,LONG,SL,-36.5,7.3,BULL,9738.5
2026-02-09 19:05,LONG,TP,44.0,4.4,BULL,9782.5
2026-02-10 19:35,LONG,SL,-14.0,2.8,BULL,9768.5
2026-02-11 17:15,LONG,TP,70.0,7.0,BULL,9838.5
2026-02-12 12:55,SHORT,SL,-13.5,2.7,BEAR,9825.0
2026-02-17 13:20,SHORT,SL,-36.0,7.2,BEAR,9789.0
2026-02-17 17:05,SHORT,TP,63.0,6.3,BEAR,9852.0
2026-02-18 07:55,SHORT,SL,-11.0,2.2,BEAR,9841.0
2026-02-18 12:20,LONG,SL,-15.0,3.0,BULL,9826.0
2026-02-18 14:40,LONG,TP,40.0,4.0,BULL,9866.0
2026-02-19 08:45,LONG,SL,-11.5,2.3,BULL,9854.5
2026-02-20 09:10,LONG,SL,-27.0,5.4,BULL,9827.5
2026-02-20 13:20,LONG,SL,-21.5,4.3,BULL,9806.0
2026-02-20 17:50,LONG,SL,-22.5,4.5,BULL,9783.5
2026-02-23 14:50,LONG,SL,-20.0,4.0,BULL,9763.5
2026-02-24 07:30,LONG,SL,-28.5,5.7,BULL,9735.0
2026-02-24 12:05,SHORT,TP,28.0,2.8,BEAR,9763.0
2026-02-24 14:00,SHORT,SL,-34.0,6.8,BEAR,9729.0
2026-02-25 08:20,LONG,SL,-15.0,3.0,BULL,9714.0
2026-02-27 12:05,LONG,SL,-16.0,3.2,BULL,9698.0
2026-02-27 14:25,LONG,SL,-35.0,7.0,BULL,9663.0
2026-02-27 18:50,LONG,TP,54.0,5.4,BULL,9717.0
2026-03-02 08:30,LONG,SL,-25.0,5.0,BULL,9692.0
2026-03-03 14:35,SHORT,TP,91.0,9.1,BEAR,9783.0
2026-03-03 17:35,SHORT,SL,-24.0,4.8,BEAR,9759.0
2026-03-04 09:40,LONG,SL,-20.0,4.0,BULL,9739.0
2026-03-05 12:10,LONG,SL,-11.5,2.3,BULL,9727.5
2026-03-05 19:35,SHORT,SL,-29.0,5.8,BEAR,9698.5
2026-03-09 19:25,LONG,SL,-21.0,4.2,BULL,9677.5
2026-03-12 09:35,LONG,TP,26.0,2.6,BULL,9703.5
2026-03-12 12:10,SHORT,SL,-18.5,3.7,BEAR,9685.0
2026-03-12 17:20,SHORT,TP,34.0,3.4,BEAR,9719.0
2026-03-12 18:35,SHORT,TP,39.0,3.9,BEAR,9758.0
2026-03-13 14:15,SHORT,TP,56.0,5.6,BEAR,9814.0
2026-03-13 18:15,SHORT,TP,31.0,3.1,BEAR,9845.0
2026-03-16 17:40,SHORT,SL,-10.5,2.1,BEAR,9834.5
2026-03-16 18:40,LONG,SL,-17.5,3.5,BULL,9817.0
2026-03-17 09:15,SHORT,SL,-18.5,3.7,BEAR,9798.5
2026-03-17 13:35,LONG,SL,-42.0,8.4,BULL,9756.5
2026-03-18 12:15,SHORT,TP,81.0,8.1,BEAR,9837.5
2026-03-18 13:05,SHORT,TP,63.0,6.3,BEAR,9900.5
