time,direction,setup,result,pnl,balance_after
2026-01-07 06:45,LONG,SWEEP_REV_PDL,TP2,66.09,10066.09
2026-01-08 05:15,LONG,SWEEP_REV_PDL,SL,-26.82,10039.27
2026-01-09 13:30,LONG,BREAKOUT_PDH,SL,5.53,10044.8
2026-01-12 00:00,LONG,BREAKOUT_PDH,TP2,89.4,10134.2
2026-01-13 14:45,SHORT,SWEEP_REV_PDH,TP2,81.27,10215.47
2026-01-14 05:00,SHORT,SWEEP_REV_PDH,SL,-26.75,10188.72
2026-01-15 01:15,LONG,SWEEP_REV_PDL,SL,-36.83,10151.89
2026-01-16 15:15,SHORT,BREAKOUT_PDL,SL,8.11,10160.0
2026-01-20 08:00,LONG,BREAKOUT_PDH,SL,-38.73,10121.27
2026-01-21 00:30,LONG,BREAKOUT_PDH,TP2,57.15,10178.42
2026-01-22 20:00,LONG,BREAKOUT_PDH,SL,-44.04,10134.38
2026-01-23 00:00,SHORT,SWEEP_REV_PDH,SL,-50.49,10083.89
2026-01-26 00:00,SHORT,SWEEP_REV_PDH,SL,-54.53,10029.36
2026-01-26 19:45,LONG,SWEEP_REV_PDL,SL,12.08,10041.44
2026-01-27 20:00,LONG,BREAKOUT_PDH,TP2,114.14,10155.58
2026-01-28 01:00,SHORT,SWEEP_REV_PDH,SL,-63.47,10092.11
2026-01-29 15:15,LONG,SWEEP_REV_PDL,SL,-101.81,9990.3
2026-01-30 08:30,SHORT,BREAKOUT_PDL,TP2,189.82,10180.12
2026-02-03 01:00,LONG,BREAKOUT_PDH,SL,-103.14,10076.98
2026-02-04 00:15,SHORT,SWEEP_REV_PDH,SL,-100.61,9976.37
2026-02-05 02:45,SHORT,BREAKOUT_PDL,SL,-100.89,9875.48
2026-02-06 00:15,LONG,SWEEP_REV_PDL,SL,12.3,9887.78
2026-02-09 02:00,LONG,SWEEP_REV_PDL,SL,12.26,9900.04
2026-02-09 15:30,LONG,BREAKOUT_PDH,SL,8.18,9908.22
2026-02-11 10:30,LONG,BREAKOUT_PDH,SL,-51.81,9856.41
2026-02-12 16:00,SHORT,BREAKOUT_PDL,TP2,186.39,10042.8
2026-02-16 00:00,LONG,SWEEP_REV_PDL,SL,6.27,10049.07
2026-02-17 05:00,SHORT,BREAKOUT_PDL,TP2,128.96,10178.03
2026-02-18 13:00,LONG,BREAKOUT_PDH,SL,5.8,10183.83
2026-02-19 06:45,LONG,BREAKOUT_PDH,SL,-28.76,10155.07
2026-02-20 06:15,SHORT,SWEEP_REV_PDH,SL,-37.86,10117.21
2026-02-23 00:00,LONG,SWEEP_REV_PDL,SL,11.16,10128.37
2026-02-23 03:00,SHORT,SWEEP_REV_PDH,TP2,125.12,10253.49
2026-02-24 13:45,SHORT,BREAKOUT_PDL,SL,-62.31,10191.18
2026-02-26 15:15,LONG,SWEEP_REV_PDL,TP2,123.04,10314.22
2026-02-27 13:00,LONG,BREAKOUT_PDH,TP2,70.05,10384.27
2026-03-02 00:45,LONG,SWEEP_REV_PDL,SL,-102.9,10281.37
2026-03-02 07:00,LONG,BREAKOUT_PDH,SL,-55.71,10225.66
2026-03-03 09:15,SHORT,BREAKOUT_PDL,SL,-101.43,10124.23
2026-03-05 13:15,LONG,SWEEP_REV_PDL,SL,-79.46,10044.77
2026-03-09 00:00,SHORT,BREAKOUT_PDL,SL,-101.66,9943.11
2026-03-10 01:15,LONG,BREAKOUT_PDH,SL,8.46,9951.57
2026-03-12 00:00,LONG,SWEEP_REV_PDL,TP2,100.76,10052.33
2026-03-13 14:45,SHORT,BREAKOUT_PDL,SL,-70.44,9981.89
2026-03-16 00:00,SHORT,SWEEP_REV_PDH,TP2,153.59,10135.48
2026-03-17 04:45,SHORT,SWEEP_REV_PDH,SL,-29.72,10105.76
2026-03-18 10:30,LONG,SWEEP_REV_PDL,SL,-43.06,10062.7
