time,engine,signal,sl,tp,hold_min,result,pnl,lot,balance,hour
2026-02-20 09:04,MOM,LONG,2.0,3.6,2,WIN,104.25,0.3,10104.25,9
2026-02-20 09:16,MOM,LONG,2.42,4.35,1,LOSS,-76.26,0.3,10027.99,9
2026-02-20 09:28,MOM,SHORT,2.14,3.86,9,WIN,111.96,0.3,10139.95,9
2026-02-20 09:45,MOM,SHORT,2.0,3.6,2,LOSS,-63.75,0.3,10076.2,9
2026-02-20 09:58,MOM,SHORT,2.0,3.6,6,WIN,104.25,0.3,10180.45,9
2026-02-20 11:15,MOM,SHORT,2.0,3.6,11,WIN,104.25,0.3,10284.7,11
2026-02-20 11:27,MOM,SHORT,2.0,3.6,4,LOSS,-63.75,0.3,10220.95,11
2026-02-20 15:43,MOM,LONG,5.0,9.0,8,LOSS,-153.75,0.3,10067.2,15
2026-02-20 16:32,MR,SHORT,2.54,3.81,1,LOSS,-79.86,0.3,9987.34,16
2026-02-20 17:19,MOM,SHORT,3.05,5.49,3,WIN,161.03,0.3,10148.36,17
2026-02-23 08:24,MR,LONG,2.0,3.0,1,LOSS,-63.75,0.3,10084.61,8
2026-02-23 09:10,MOM,LONG,2.0,3.6,14,WIN,104.25,0.3,10188.86,9
2026-02-23 09:37,MOM,SHORT,2.0,3.6,3,LOSS,-63.75,0.3,10125.11,9
2026-02-23 09:48,MOM,LONG,2.0,3.6,2,LOSS,-63.75,0.3,10061.36,9
2026-02-23 11:10,MOM,LONG,2.0,3.6,1,LOSS,-63.75,0.3,9997.61,11
2026-02-23 15:08,MOM,LONG,4.86,8.74,3,LOSS,-149.47,0.3,9848.15,15
2026-02-24 09:05,MOM,LONG,2.0,3.6,5,LOSS,-63.75,0.3,9784.4,9
2026-02-24 09:28,MOM,SHORT,2.0,3.6,2,LOSS,-63.75,0.3,9720.65,9
2026-02-24 11:11,MOM,LONG,2.0,3.6,5,LOSS,-63.75,0.3,9656.9,11
2026-02-24 11:44,MR,SHORT,2.0,3.0,3,WIN,86.25,0.3,9743.15,11
2026-02-24 15:45,MR,SHORT,2.0,3.0,4,WIN,86.25,0.3,9829.4,15
2026-02-24 16:51,MR,LONG,2.21,3.32,2,WIN,95.76,0.3,9925.16,16
2026-02-24 17:01,MOM,LONG,2.6,4.68,4,WIN,136.65,0.3,10061.81,17
2026-02-24 17:36,MOM,LONG,2.0,3.6,1,LOSS,-63.75,0.3,9998.06,17
2026-02-24 17:40,MOM,LONG,2.0,3.6,10,LOSS,-63.75,0.3,9934.31,17
2026-02-25 09:15,MOM,SHORT,2.66,4.79,2,LOSS,-83.64,0.3,9850.67,9
2026-02-25 09:34,MOM,LONG,2.0,3.6,3,WIN,104.25,0.3,9954.92,9
2026-02-25 11:09,MOM,SHORT,2.0,3.6,1,WIN,104.25,0.3,10059.17,11
2026-02-25 11:56,MOM,LONG,2.0,3.6,3,WIN,104.25,0.3,10163.42,11
2026-02-25 15:00,MOM,LONG,2.69,4.83,2,WIN,141.28,0.3,10304.7,15
2026-02-25 15:15,MOM,LONG,2.97,5.34,1,LOSS,-92.72,0.3,10211.98,15
2026-02-25 15:25,MOM,SHORT,2.98,5.36,2,WIN,157.02,0.3,10369.0,15
2026-02-25 15:49,MOM,LONG,2.6,4.68,1,LOSS,-81.75,0.3,10287.25,15
2026-02-25 16:23,MR,SHORT,2.0,3.0,1,LOSS,-63.75,0.3,10223.5,16
2026-02-25 16:46,MR,SHORT,2.0,3.0,2,WIN,86.25,0.3,10309.75,16
2026-02-25 17:09,MOM,LONG,2.09,3.76,6,LOSS,-66.49,0.3,10243.25,17
2026-02-25 17:43,MOM,SHORT,2.0,3.6,2,WIN,104.25,0.3,10347.5,17
2026-02-25 17:49,MOM,SHORT,2.0,3.6,2,LOSS,-63.75,0.3,10283.75,17
2026-02-26 09:39,MOM,LONG,2.0,3.6,4,LOSS,-63.75,0.3,10220.0,9
2026-02-26 09:46,MOM,LONG,2.0,3.6,6,WIN,104.25,0.3,10324.25,9
2026-02-26 11:07,MOM,LONG,2.56,4.61,8,LOSS,-80.55,0.3,10243.71,11
2026-02-26 11:52,MR,LONG,2.0,3.0,1,LOSS,-63.75,0.3,10179.96,11
2026-02-26 15:17,MR,LONG,2.87,4.31,1,LOSS,-89.89,0.3,10090.07,15
2026-02-26 15:39,MOM,LONG,5.0,9.0,6,WIN,266.25,0.3,10356.32,15
2026-02-26 17:06,MOM,LONG,2.19,3.94,4,WIN,114.43,0.3,10470.75,17
2026-02-26 17:16,MOM,SHORT,2.16,3.89,4,LOSS,-68.55,0.3,10402.2,17
2026-02-26 17:25,MOM,SHORT,2.01,3.62,2,WIN,104.86,0.3,10507.06,17
2026-02-26 17:28,MOM,SHORT,2.0,3.6,5,LOSS,-63.75,0.3,10443.31,17
2026-02-26 17:45,MOM,SHORT,2.0,3.6,1,LOSS,-63.75,0.3,10379.56,17
2026-02-26 17:57,MOM,SHORT,2.99,5.39,2,LOSS,-93.58,0.3,10285.99,17
2026-02-27 11:06,MOM,SHORT,2.0,3.6,1,LOSS,-63.75,0.3,10222.24,11
2026-02-27 11:14,MOM,SHORT,2.0,3.6,8,LOSS,-63.75,0.3,10158.49,11
2026-02-27 11:30,MOM,LONG,2.0,3.6,15,WIN,16.5,0.3,10174.98,11
2026-02-27 11:47,MOM,LONG,2.0,3.6,8,WIN,104.25,0.3,10279.23,11
2026-02-27 14:22,MR,SHORT,2.0,3.0,1,LOSS,-63.75,0.3,10215.48,14
2026-02-27 15:30,MOM,LONG,3.5,6.3,2,LOSS,-108.83,0.3,10106.65,15
2026-02-27 15:48,MOM,LONG,2.47,4.45,3,LOSS,-77.98,0.3,10028.67,15
2026-03-02 09:20,MOM,SHORT,3.37,6.06,1,LOSS,-104.72,0.3,9923.95,9
2026-03-02 09:50,MOM,SHORT,2.22,4.0,1,LOSS,-70.44,0.3,9853.51,9
2026-03-02 09:58,MOM,SHORT,2.31,4.16,3,WIN,120.92,0.3,9974.43,9
2026-03-02 11:10,MOM,SHORT,2.3,4.15,1,LOSS,-72.83,0.3,9901.59,11
2026-03-02 15:31,MR,SHORT,3.75,5.62,2,WIN,164.81,0.3,10066.4,15
2026-03-02 15:57,MOM,SHORT,5.0,9.0,2,LOSS,-153.75,0.3,9912.65,15
2026-03-02 17:44,MOM,SHORT,2.95,5.32,1,LOSS,-92.38,0.3,9820.27,17
2026-03-03 09:25,MR,LONG,4.0,6.0,1,LOSS,-123.75,0.3,9696.52,9
2026-03-03 09:45,MOM,SHORT,5.0,9.0,2,LOSS,-149.08,0.291,9547.44,9
2026-03-04 09:59,MOM,LONG,2.31,4.17,6,WIN,121.22,0.3,9668.66,9
2026-03-04 11:10,MOM,LONG,2.0,3.6,3,WIN,104.25,0.3,9772.91,11
2026-03-04 11:35,MOM,LONG,2.02,3.63,1,LOSS,-64.26,0.3,9708.65,11
2026-03-04 11:51,MOM,SHORT,2.02,3.63,4,LOSS,-64.27,0.3,9644.38,11
2026-03-04 15:42,MOM,SHORT,3.59,6.46,1,WIN,190.03,0.3,9834.41,15
2026-03-05 08:06,MR,LONG,2.0,3.0,1,WIN,86.25,0.3,9920.66,8
2026-03-05 09:15,MOM,LONG,3.31,5.97,1,LOSS,-103.18,0.3,9817.48,9
2026-03-05 09:26,MOM,SHORT,2.54,4.58,5,WIN,133.57,0.3,9951.05,9
